temp volt area lowerTick upperTick lowerTime upperTime
293k -500 -243.44575996124877 5080 9533 3.0502253203616187e-06 0.0004483502305241808
293k 250 115.90095686716747 5103 9701 5.350580166503124e-06 0.0004651505855397705
293k -250 -121.06102432543823 5079 9557 2.950430441006059e-06 0.0004507504356740403
293k 500 232.91341370363773 5095 9519 4.551983561120261e-06 0.00044695198873104984
293k 0 1.8251984660390927 5155 6928 1.0548894896959289e-05 0.0001878488969689042
293_2 -500 -227.11883712782173 5081 9277 3.1518825271959684e-06 0.000422751887430682
293_2 250 108.1698678804191 5103 9379 5.348515754038545e-06 0.0004329485207510137
293_2 -250 -114.77463293857824 5080 9485 3.048637648973525e-06 0.0004435486427966997
293_2 500 236.03005084369343 5092 9104 4.247977379710749e-06 0.00040544798206817285
293_2 0 -1.6658486568936315 5078 6525 2.8506883072595264e-06 0.00014755068999823778
